Feature,Coefficient,Absolute_Coefficient
num__Cloud9am,0.022510347081401944,0.022510347081401944
cat__Location_CoffsHarbour,-0.01973422051547662,0.01973422051547662
cat__WindGustDir_NW,0.01941110290163165,0.01941110290163165
cat__Location_Melbourne,0.01917071444486316,0.01917071444486316
num__WindSpeed9am,-0.018701764048533423,0.018701764048533423
cat__Location_Nuriootpa,0.017185000487227077,0.017185000487227077
cat__WindGustDir_N,0.01644768766514155,0.01644768766514155
cat__WindDir9am_NNW,0.011379706977077122,0.011379706977077122
num__Evaporation,-0.0023619465440848364,0.0023619465440848364
cat__Location_Mildura,0.0007863016323989241,0.0007863016323989241
cat__Location_Nhil,-0.00029760368829495707,0.00029760368829495707
cat__WindGustDir_SSW,-0.00027414140857837186,0.00027414140857837186
